url,img_desc,img_url,apartado,lote,descripcion
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18248/26a-subasta-online-24-05-16,"['25 Pesetas. 31 Agosto 1936. Serie A. ED.C18A...', '25 Pesetas. 31 Agosto 1936. Serie A. ED.C18A...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26787_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26787_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 56,25 Pesetas. 31 Agosto 1936. Serie A. ED.C18A. Escaso. SC
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18249/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 5 Pesetas. Emisión 1936...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26858_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 57,"Banco de España · Bilbao. 5 Pesetas. Emisión 1936. Lote de 3 billetes. Sin serie (2) y Serie A. ED.C19B, C Y AD. Mantiene uno de ellos celo en rev., si no BC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18250/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 25 Pesetas. Emisión 1936...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26857_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 58,"Banco de España · Bilbao. 25 Pesetas. Emisión 1936. Sin serie. Lote de 3 billetes. Diferentes antefirmas. ED.C20A, G Y H. Alguno con celo en rev., si no BC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18251/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 100 Pesetas. Emisión 1936...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26859_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 59,"Banco de España · Bilbao. 100 Pesetas. Emisión 1936. Sin serie. Lote de 3 billetes. Antefirmas diferentes. ED.C22A, B Y D. Dos de ellos mantienen celo, si no BC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18252/26a-subasta-online-24-05-16,"['Banco de España · Santander. 50 Pesetas...', 'Banco de España · Santander. 50 Pesetas...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26866_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26866_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 60,"Banco de España · Santander. 50 Pesetas. 1 Noviembre 1936. Sin serie. Antefirma B. Mercantil. ED.C29D. Mantiene celo en rev., si no MBC-"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18253/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 5 Pesetas. 1 Enero 1937...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26862_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 61,"Banco de España · Bilbao. 5 Pesetas. 1 Enero 1937. Lote de 4 billetes. Sin serie (3) y Serie A. Diferentes antefirmas. ED.C36A, B, D Y C37D. MBC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18254/26a-subasta-online-24-05-16,"['Banco de España · Bilbao. 1000 Pesetas...', 'Banco de España · Bilbao. 1000 Pesetas...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26865_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26865_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 62,"Banco de España · Bilbao. 1000 Pesetas. 1 Enero 1937. Sin numeración. Banco Urquijo Vascongado. Vte. Sin fondo violeta, color más parecido al del 500 Pesetas. ED.NE27D VTE. Muy escaso. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18255/26a-subasta-online-24-05-16,"['Banco de España · Bilbao. 5 Pesetas. 1 Enero 1937...', 'Banco de España · Bilbao. 5 Pesetas. 1 Enero 1937...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27046_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27046_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 63,Banco de España · Bilbao. 5 Pesetas. 1 Enero 1937. Serie A. Con matriz y sin numeración. ED.C37D. SC
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18256/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 10 Pesetas. 1 Enero 1937...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26864_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 64,"Banco de España · Bilbao. 10 Pesetas. 1 Enero 1937. Sin serie. Lote de 3 billetes. Antefirmas diferentes. ED.C38B, C Y D. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18257/26a-subasta-online-24-05-16,"['Banco de España · Bilbao. 10 Pesetas. 1 Enero 1937...', 'Banco de España · Bilbao. 10 Pesetas. 1 Enero 1937...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27047_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27047_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 65,Banco de España · Bilbao. 10 Pesetas. 1 Enero 1937. Sin serie. Con matriz y sin numeración. ED.C38D. Muy escaso. SC
