img_url,lote,url,descripcion,apartado,img_desc,lotehead,precio,numerolote
['http://subastas.numismaticaycoleccionismo.es/imagenes/26916_a.jpg'],Lot 193,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18385/26a-subasta-online-24-05-16,"Lote de 4 billetes. 200 Pesetas 1980 (2), 500 Pesetas 1979 y 1000 Pesetas 1992 (sin serie). SC a EBC",JUAN CARLOS I. BANCO DE ESPAÑA,"['Lote de 4 billetes. 200 Pesetas 1980 (2), 500 Pesetas 1979 y 1000 Pesetas 1992 (sin serie)...']",['Lot No 193: 26ª Subasta Online · 24.05.16'],12 €,18385
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26844_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26844_b.jpg']",Lot 194,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18386/26a-subasta-online-24-05-16,"5000 Pesetas. 6 Febrero 1976. Sin serie. ED.E1. Pico superior ligeramente doblado y alguna arruga, si no SC.",JUAN CARLOS I. BANCO DE ESPAÑA,"['5000 Pesetas. 6 Febrero 1976. Sin serie. ED...', '5000 Pesetas. 6 Febrero 1976. Sin serie. ED...']",['Lot No 194: 26ª Subasta Online · 24.05.16'],63 €,18386
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26933_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26933_b.jpg']",Lot 195,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18387/26a-subasta-online-24-05-16,5000 Pesetas. 6 Febrero 1976. Sin serie. ED.E1. SC-,JUAN CARLOS I. BANCO DE ESPAÑA,"['5000 Pesetas. 6 Febrero 1976. Sin serie. ED...', '5000 Pesetas. 6 Febrero 1976. Sin serie. ED...']",['Lot No 195: 26ª Subasta Online · 24.05.16'],63 €,18387
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26849_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26849_b.jpg']",Lot 196,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18388/26a-subasta-online-24-05-16,500 Pesetas. 23 Octubre 1979. Sin serie. ED.E2. EBC+,JUAN CARLOS I. BANCO DE ESPAÑA,"['500 Pesetas. 23 Octubre 1979. Sin serie. ED...', '500 Pesetas. 23 Octubre 1979. Sin serie. ED...']",['Lot No 196: 26ª Subasta Online · 24.05.16'],4 €,18388
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26848_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26848_b.jpg']",Lot 197,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18389/26a-subasta-online-24-05-16,500 Pesetas. 23 Octubre 1979. Serie C. Numeración capicúa. ED.E2A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['500 Pesetas. 23 Octubre 1979. Serie C. Numeración capicúa...', '500 Pesetas. 23 Octubre 1979. Serie C. Numeración capicúa...']",['Lot No 197: 26ª Subasta Online · 24.05.16'],6 €,18389
['http://subastas.numismaticaycoleccionismo.es/imagenes/26874_a.jpg'],Lot 198,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18390/26a-subasta-online-24-05-16,500 Pesetas. 23 Octubre 1979. Lote de 3 billetes. Serie 1J y 1N (2). ED.E2A. EBC+ a EBC-,JUAN CARLOS I. BANCO DE ESPAÑA,['500 Pesetas. 23 Octubre 1979. Lote de 3 billetes...'],['Lot No 198: 26ª Subasta Online · 24.05.16'],10 €,18390
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26931_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26931_b.jpg']",Lot 199,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18391/26a-subasta-online-24-05-16,500 Pesetas. 23 Octubre 1979. Lote de 10 billetes. Serie D (5 correlativos) y G (5 correlativos). ED.E2A. SC.,JUAN CARLOS I. BANCO DE ESPAÑA,"['500 Pesetas. 23 Octubre 1979. Lote de 10 billetes...', '500 Pesetas. 23 Octubre 1979. Lote de 10 billetes...']",['Lot No 199: 26ª Subasta Online · 24.05.16'],42 €,18391
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26901_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26901_b.jpg']",Lot 200,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18392/26a-subasta-online-24-05-16,1000 Pesetas. 23 Octubre 1979. Sin serie. ED.E3. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['1000 Pesetas. 23 Octubre 1979. Sin serie...', '1000 Pesetas. 23 Octubre 1979. Sin serie...']",['Lot No 200: 26ª Subasta Online · 24.05.16'],16 €,18392
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26846_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26846_b.jpg']",Lot 201,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18393/26a-subasta-online-24-05-16,1000 Pesetas. 23 Octubre 1979. Sin serie. Pareja correlativa. ED.E3. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['1000 Pesetas. 23 Octubre 1979. Sin serie...', '1000 Pesetas. 23 Octubre 1979. Sin serie...']",['Lot No 201: 26ª Subasta Online · 24.05.16'],33 €,18393
['http://subastas.numismaticaycoleccionismo.es/imagenes/27065_a.jpg'],Lot 202,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18394/26a-subasta-online-24-05-16,1000 Pesetas. 23 Octubre 1979. Serie A. Pareja correlativa. ED.E3A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['1000 Pesetas. 23 Octubre 1979. Serie A. Pareja correlativa...'],['Lot No 202: 26ª Subasta Online · 24.05.16'],20 €,18394
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26850_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26850_b.jpg']",Lot 203,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18395/26a-subasta-online-24-05-16,5000 Pesetas. 23 Octubre 1979. Sin serie. Numeración capicúa. ED.E4. Curioso. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['5000 Pesetas. 23 Octubre 1979. Sin serie...', '5000 Pesetas. 23 Octubre 1979. Sin serie...']",['Lot No 203: 26ª Subasta Online · 24.05.16'],60 €,18395
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26903_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26903_b.jpg']",Lot 204,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18396/26a-subasta-online-24-05-16,2000 Pesetas. 22 Julio 1980. Sin serie. ED.E5. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['2000 Pesetas. 22 Julio 1980. Sin serie. ED...', '2000 Pesetas. 22 Julio 1980. Sin serie. ED...']",['Lot No 204: 26ª Subasta Online · 24.05.16'],17 €,18396
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26851_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26851_b.jpg']",Lot 205,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18397/26a-subasta-online-24-05-16,2000 Pesetas. 22 Julio 1980. Sin serie. ED.E5. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['2000 Pesetas. 22 Julio 1980. Sin serie. ED...', '2000 Pesetas. 22 Julio 1980. Sin serie. ED...']",['Lot No 205: 26ª Subasta Online · 24.05.16'],21 €,18397
['http://subastas.numismaticaycoleccionismo.es/imagenes/27061_a.jpg'],Lot 206,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18398/26a-subasta-online-24-05-16,2000 Pesetas. 22 Julio 1980. Serie A. Pareja correlativa. ED.E5A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['2000 Pesetas. 22 Julio 1980. Serie A. Pareja correlativa...'],['Lot No 206: 26ª Subasta Online · 24.05.16'],36 €,18398
['http://subastas.numismaticaycoleccionismo.es/imagenes/26854_a.jpg'],Lot 207,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18399/26a-subasta-online-24-05-16,200 Pesetas. 16 Septiembre 1980. Sin serie. Trío correlativo. ED.E6. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['200 Pesetas. 16 Septiembre 1980. Sin serie...'],['Lot No 207: 26ª Subasta Online · 24.05.16'],12 €,18399
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26847_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26847_b.jpg']",Lot 208,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18400/26a-subasta-online-24-05-16,10000 Pesetas. 24 Septiembre 1985. Serie M. Numeración capicúa. ED.E7A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['10000 Pesetas. 24 Septiembre 1985. Serie M...', '10000 Pesetas. 24 Septiembre 1985. Serie M...']",['Lot No 208: 26ª Subasta Online · 24.05.16'],67 €,18400
['http://subastas.numismaticaycoleccionismo.es/imagenes/26930_a.jpg'],Lot 209,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18401/26a-subasta-online-24-05-16,10000 Pesetas. 24 Septiembre 1985. Serie P. Pareja correlativa. ED.E7A. Uno de ellos mantiene ligera arruga propia del papel en la parte der. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['10000 Pesetas. 24 Septiembre 1985. Serie P...'],['Lot No 209: 26ª Subasta Online · 24.05.16'],125 €,18401
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26852_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26852_b.jpg']",Lot 210,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18402/26a-subasta-online-24-05-16,2000 Pesetas. 24 Abril 1992. Serie A. ED.E8A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['2000 Pesetas. 24 Abril 1992. Serie A. ED...', '2000 Pesetas. 24 Abril 1992. Serie A. ED...']",['Lot No 210: 26ª Subasta Online · 24.05.16'],16 €,18402
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26902_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26902_b.jpg']",Lot 211,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18403/26a-subasta-online-24-05-16,2000 Pesetas. 24 Abril 1992. Serie A. ED.E8A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['2000 Pesetas. 24 Abril 1992. Serie A. ED...', '2000 Pesetas. 24 Abril 1992. Serie A. ED...']",['Lot No 211: 26ª Subasta Online · 24.05.16'],18 €,18403
['http://subastas.numismaticaycoleccionismo.es/imagenes/27060_a.jpg'],Lot 212,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18404/26a-subasta-online-24-05-16,2000 Pesetas. 24 Abril 1992. Serie 9A. Pareja correlativa. ED.E8B. Escaso. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['2000 Pesetas. 24 Abril 1992. Serie 9A. Pareja correlativa...'],['Lot No 212: 26ª Subasta Online · 24.05.16'],90 €,18404
